N , INSTANCE , # UDC , # COMBINATIONS , # OUTGOING LINKS , MAX # PARALLEL ACTIVITIES , AVG # PARALLEL ACTIVITIES , # DOUBLE LINKS , NPV , MAX MEMORY (ABSOLUTE) , MAX MEMORY (1) , MAX MEMORY (2) , AVG MEMORY , MAX # UDC IN MEMORY , AVG # UDC IN MEMORY , UDC CPU TIME , NPV CPU TIME , NPV (ENU) , CPU TIME (ENU) 
10, 87, 13, 513, 27, 4, 3.30769, 0, NA, 0.00391388, 0.00273895, 0.00273895 , 0.00139393, 6, 2.49123, 0.002, NA, 0, 0
10, 88, 10, 585, 20, 5, 3.3, 0, NA, 0.0044632, 0.0034256, 0.0034256 , 0.00209424, 5, 1.6, 0.003, NA, 0, 0
10, 89, 12, 441, 24, 4, 3.08333, 0, NA, 0.00336456, 0.00156403, 0.00156403 , 0.00100493, 4, 1.90476, 0.002, NA, 0, 0
10, 90, 14, 425, 25, 4, 3, 0, NA, 0.00324249, 0.00113678, 0.00113678 , 0.000771054, 6, 1.76, 0.002, NA, 0, 0
20, 91, 22, 465, 36, 4, 2.63636, 0, NA, 0.00354767, 0.00113678, 0.00113678 , 0.000604511, 3, 1.6172, 0.006, NA, NA, NA
20, 92, 21, 561, 34, 5, 2.28571, 0, NA, 0.00428009, 0.00183868, 0.00183868 , 0.00119345, 3, 0.670232, 0.004, NA, NA, NA
20, 93, 18, 433, 27, 4, 2.61111, 0, NA, 0.00330353, 0.000770569, 0.000770569 , 0.000502941, 3, 0.965358, 0.003, NA, NA, NA
20, 94, 23, 369, 35, 4, 2.47826, 0, NA, 0.00281525, 0.000724792, 0.000724792 , 0.000368113, 3, 0.775068, 0.004, NA, NA, NA
20, 95, 16, 409, 23, 4, 2.6875, 0, NA, 0.00312042, 0.000740051, 0.000740051 , 0.00049037, 3, 0.508557, 0.004, NA, NA, NA
20, 96, 20, 745, 29, 5, 2.45, 0, NA, 0.0056839, 0.00287628, 0.00287628 , 0.00148377, 2, 0.381208, 0.003, NA, NA, NA
20, 97, 20, 401, 31, 4, 2.55, 0, NA, 0.00305939, 0.000617981, 0.000617981 , 0.000401523, 5, 0.877805, 0.004, NA, NA, NA
